Source,Target,Type,id,label,timeset,weight
44,25,Undirected,0,,,1.0
44,6,Undirected,0,,,1.0
44,42,Undirected,0,,,1.0
45,43,Undirected,0,,,1.0
45,68,Undirected,0,,,1.0
45,67,Undirected,0,,,1.0
45,49,Undirected,0,,,1.0
45,25,Undirected,0,,,1.0
45,79,Undirected,0,,,1.0
45,69,Undirected,0,,,1.0
45,20,Undirected,0,,,1.0
45,42,Undirected,0,,,1.0
45,96,Undirected,0,,,1.0
46,105,Undirected,0,,,1.0
46,18,Undirected,0,,,1.0
46,57,Undirected,0,,,1.0
46,34,Undirected,0,,,1.0
46,62,Undirected,0,,,1.0
46,39,Undirected,0,,,1.0
46,21,Undirected,0,,,1.0
46,67,Undirected,0,,,1.0
46,45,Undirected,0,,,1.0
46,93,Undirected,0,,,1.0
47,109,Undirected,0,,,1.0
47,51,Undirected,0,,,1.0
47,56,Undirected,0,,,1.0
47,68,Undirected,0,,,1.0
47,94,Undirected,0,,,1.0
47,33,Undirected,0,,,1.0
47,96,Undirected,0,,,1.0
47,25,Undirected,0,,,1.0
47,20,Undirected,0,,,1.0
47,67,Undirected,0,,,1.0
48,66,Undirected,0,,,1.0
48,26,Undirected,0,,,1.0
48,61,Undirected,0,,,1.0
48,41,Undirected,0,,,1.0
48,104,Undirected,0,,,1.0
48,83,Undirected,0,,,1.0
48,78,Undirected,0,,,1.0
48,95,Undirected,0,,,1.0
48,62,Undirected,0,,,1.0
48,64,Undirected,0,,,1.0
49,42,Undirected,0,,,1.0
49,55,Undirected,0,,,1.0
49,56,Undirected,0,,,1.0
49,51,Undirected,0,,,1.0
49,80,Undirected,0,,,1.0
49,98,Undirected,0,,,1.0
49,68,Undirected,0,,,1.0
49,72,Undirected,0,,,1.0
49,20,Undirected,0,,,1.0
49,45,Undirected,0,,,1.0
50,96,Undirected,0,,,1.0
50,20,Undirected,0,,,1.0
50,67,Undirected,0,,,1.0
50,79,Undirected,0,,,1.0
50,68,Undirected,0,,,1.0
50,43,Undirected,0,,,1.0
50,45,Undirected,0,,,1.0
50,47,Undirected,0,,,1.0
50,69,Undirected,0,,,1.0
50,25,Undirected,0,,,1.0
51,68,Undirected,0,,,1.0
51,56,Undirected,0,,,1.0
51,55,Undirected,0,,,1.0
51,49,Undirected,0,,,1.0
51,25,Undirected,0,,,1.0
51,42,Undirected,0,,,1.0
51,98,Undirected,0,,,1.0
51,43,Undirected,0,,,1.0
51,24,Undirected,0,,,1.0
51,47,Undirected,0,,,1.0
52,20,Undirected,0,,,1.0
52,25,Undirected,0,,,1.0
52,97,Undirected,0,,,1.0
52,96,Undirected,0,,,1.0
52,91,Undirected,0,,,1.0
52,31,Undirected,0,,,1.0
52,117,Undirected,0,,,1.0
52,109,Undirected,0,,,1.0
52,15,Undirected,0,,,1.0
52,44,Undirected,0,,,1.0
53,100,Undirected,0,,,1.0
53,104,Undirected,0,,,1.0
53,38,Undirected,0,,,1.0
53,85,Undirected,0,,,1.0
53,66,Undirected,0,,,1.0
53,61,Undirected,0,,,1.0
53,41,Undirected,0,,,1.0
53,19,Undirected,0,,,1.0
53,78,Undirected,0,,,1.0
53,64,Undirected,0,,,1.0
54,41,Undirected,0,,,1.0
54,104,Undirected,0,,,1.0
54,48,Undirected,0,,,1.0
54,89,Undirected,0,,,1.0
54,39,Undirected,0,,,1.0
54,78,Undirected,0,,,1.0
